message_id,true_intent,text,agent_reply,template_reply
GS_0246,ACCOUNT_ACCESS,@AmazonHelp I brought something on amazon on the 6th September and I have been charged twice since and been sent the same product twice,I am very sorry to hear that you were charged twice and received duplicate items. This is certainly not the experience we want for you. Please send us a DM with your order details so we can investigate these charges and help resolve this right away. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0077,ACCOUNT_ACCESS,"@AmazonHelp The problem is my card was charged, but nothing was ordered on my account.","I am very sorry to hear about this unexpected charge. I understand how concerning it is to see a transaction you don't recognize. To help us look into this securely, please send us a DM so we can investigate this further with you. ^AM",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0093,ACCOUNT_ACCESS,@AmazonHelp I am still waiting for help. How come my balance deducted and it's not there in Amazon Pay Balance Account Statement? It's simple cheat from Amazon India.,I am very sorry to hear about the frustration regarding your balance deduction. I understand how concerning this is and would like to investigate this for you immediately. Please send us a DM with your registered email address so we can look into this further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0147,ACCOUNT_ACCESS,@AmazonHelp Yes . And i resived amazon alert . That my acc is broken but it was me!!,I am sorry to hear about the frustration caused by your account being locked. We want to help you regain access. Please send us a DM with the email address associated with your account so we can look into this further and assist you with the next steps. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0091,ACCOUNT_ACCESS,@AmazonHelp I have never received that request. What do I need to do? I have things I need to order. Will I have to get a new account?,I am sorry to hear you are having trouble accessing your account; I understand how frustrating that is when you need to place an order. You do not necessarily need a new account. Please send us a DM so we can look into this for you and provide the next steps. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0047,DELIVERY_DAMAGE,@AmazonHelp Yes my order was split into multiple packages and so far two deliveries have been returned indicating customer refused,I am very sorry to hear that your packages were marked as refused when you did not request this. I understand how frustrating it is to have your order split and returned unexpectedly. Please send us a DM so we can investigate the status of these shipments for you. ^AB,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0195,DELIVERY_DAMAGE,"@AmazonHelp @117093 Bread is squashed, bananas with ripe dark marks all over. Never again",I am very sorry to hear your groceries arrived in such poor condition; that is certainly not the experience we want for you. Please send us a DM with your order details so we can look into this and make it right. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0061,DELIVERY_DAMAGE,"@AmazonHelp It's still in its plastic, but the disc is loose and there is rattling parts, it has been squashed or broken during transit or packing. I didn't click return on the website because it will cost me more than the original item and postage combined to return the broken DVD.",I am very sorry to hear your DVD arrived damaged; I understand how frustrating it is to receive a broken item. Please do not worry about return costs. Send us a DM with your order number so we can look into this and find a solution for you. ^AB,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0207,DELIVERY_DAMAGE,@115850 One fladuent activity happen in my card from amazon at name of prime membership with transaction of 6850 rs,I am very sorry to hear about this unexpected charge on your card. We definitely want to look into this for you right away. Please send us a DM so we can securely review your account details and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0169,DELIVERY_DAMAGE,"@115850 dear amazon been your trusted customer since long.this time u had sent me damaged product.please do replace asap.Order Id: 405-0084914-5840338 
Now I had to think twice to order in amazon!! Thank you https://t.co/FdNj9aGsQu",I am very sorry to hear your order arrived damaged; I understand how disappointing this is. We would like to look into this for you right away. Please send us a DM with your order number so we can review the available replacement options. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
