message_id,true_intent,text,agent_reply,template_reply
GS_0042,RETURN_REFUND,@115850 How can refunds this my money https://t.co/vzd9YnpQ6U,I am sorry to hear you are having trouble with your refund. We would like to look into this for you right away. Please send us a DM with your order details so we can investigate the status of your request. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0054,RETURN_REFUND,@AmazonHelp I need them for Friday so I'm not messing around with returns today. Can you send me what I ordered? Ill send back ur 2 quid belt Friday.,"I am very sorry for the frustration this has caused, especially with your deadline approaching. We would like to look into this for you right away to see how we can help. Please send us a DM with your order details so we can investigate this further. ^AM",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0159,RETURN_REFUND,"My hot sauce from @115821 wasn’t broken this time, but it was the wrong sauce. Gonna have to start ordering from @12159","I am very sorry to hear you received the wrong hot sauce. That is certainly frustrating, and I would like to help get this corrected for you. Please send us a DM with your order details so we can look into this and assist you further. ^AM",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0121,DEVICE_TECH_SUPPORT,@119625 fire stick network issues frequent even with good connectivity and net speed. Please fix it,I'm sorry to hear you're experiencing frequent connection issues with your Fire Stick. I know how frustrating that is when your internet speed is otherwise fine. Please send us a DM so we can look into this and provide further technical assistance. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0046,RETURN_REFUND,@115850 Order ID: 171-7504339-9867535. return is complete and refund has issued. But i haven't received any amount till now.,I’m sorry to hear that you haven't received your refund yet. I understand how frustrating this delay is. Please send us a DM with your order ID so we can look into the status of your refund and assist you further. ^AS,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0068,RETURN_REFUND,@115850 Really disappointed @115850 #badcustomerservice asking me to courier the wrong items back! #pathetic,I am very sorry to hear about the frustration this return process has caused you. We would like to look into this and assist you further. Please send us a DM with your order details so we can investigate what happened with your return. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0076,ACCOUNT_ACCESS,".@116090 Great surprise to see you've made Prime Music available to Canadians.... but it keeps making me log in and then tells me my session has expired... what's the deal? 

Cc: @AmazonHelp https://t.co/sfbFMiGS3g",I'm sorry to hear you're having trouble staying logged in to Prime Music; that sounds incredibly frustrating. We would like to look into this further to get it sorted out for you. Please send us a DM so we can assist you directly. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0132,DEVICE_TECH_SUPPORT,"@AmazonHelp Why will my Amazon Echo not say ""Alex is a nerd"" but will say ""Alex is a bitch""?","I’m sorry for the frustration this has caused. Our devices have safety guidelines regarding the language they process and repeat. We’d like to look into this further with you, so please send us a DM so we can assist you privately. ^AB",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0012,ORDER_STATUS,@AmazonHelp I'm trying to cancel an order from the Amazon app but it just leads me to a white screen with nothing and it's not shipped or anything how do I cancel it,"I am sorry to hear you are having trouble canceling your order due to the app error. Please try accessing your account through a web browser on a desktop computer to see if that resolves the issue. If you still need help, please send us a DM so we can assist you further. ^MA",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0001,ORDER_STATUS,@AmazonHelp I have an Prime account and three of my last order are delayed. I had several calls with your french department assistance. And no one is able to give me « real » answer the point is I paid for a service which is to be delivered in 24h and for theses order it’s 5days now,I am very sorry to hear about the ongoing frustration with your recent deliveries and the lack of clarity from our support team. I would like to look into this for you immediately. Please send us a DM with your order numbers so we can investigate this further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0006,ORDER_STATUS,@115850 I ordered earphones (no. - 408-1899080-9287553 ) . Delivery Never even came to me.  Really disappointed with the service . https://t.co/YHJgYR5tga,I am very sorry to hear that your earphones have not arrived as expected. I understand how frustrating this experience is. Please send us a DM with your order number so we can look into the status of your delivery and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0014,GENERAL_COMPLAINT,WTH is going on at @115821 2 horribly screwed up Prime orders in the same week?,I am very sorry to hear about the trouble you’ve had with your recent orders; I understand how frustrating that is. We would like to look into this for you. Please send us a DM with your order details so we can investigate what happened. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0018,ACCOUNT_ACCESS,"@115850 order :407-5264538-1697154
i haven't ordered anything this year,
But u canceled my order as i crossed d limit, what d hell is dis?","I am very sorry to hear about this confusion regarding your account and the unexpected cancellation. Please do not share your order details here as this is a public space. To look into this for you, please send us a DM so we can investigate further. ^AM",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0025,PRIME_SUBSCRIPTION,"So when did @115821 Prime shipping turn into 3 days? Everything I've been ordering lately has taken more than 2 days. Ordered today, Tuesday, and won't be delivered until Friday?",I’m sorry to hear your recent orders haven't arrived as quickly as expected. I understand how frustrating that is. Please send us a DM with your order details so we can look into the specific delivery estimates for you. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0036,RETURN_REFUND,"@AmazonHelp I am returning an order and have my proof from the post office, but not had a confirmation from you yet. Posted it Saturday. Thanks",I’m sorry for the concern regarding your return status. It can take a few business days for our warehouse to process incoming packages after they are dropped off. Please send us a DM with your order number so we can look into this for you. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0167,ORDER_STATUS,"@AmazonHelp Now, I cannot get a straight answer on where the package is, if it’s damaged, or when it will be delivered.",I am very sorry for the frustration caused by the lack of clear updates on your delivery. I would like to look into this for you to see what is happening with your package. Please send us a DM so we can securely access your order details and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0193,RETURN_REFUND,"@115851 @115850 fraud sellers selling faulty products, no option to return as we blindly trusted Amazon and never opened the package until needed. Horrible customer support too.",I am very sorry to hear about the frustration this has caused you. We want to look into this faulty product issue right away. Please send us a DM with your order details so we can investigate this further and assist you with the next steps. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0117,ORDER_STATUS,@AmazonHelp you say next day delivery now I find it’s Monday !!amazon prime ??,I’m sorry for the frustration regarding your delivery date. I understand how disappointing it is when an order doesn't arrive as expected. Please send us a DM with your order number so we can look into this for you and see what’s happening. ^AL,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0008,DELIVERY_DAMAGE,"I don't know if I want to order anything from @115821 for Black Friday this year considering they have delivered my last 3 packages to the wrong apartment building, two of which were really expensive",I am very sorry to hear about these repeated delivery issues; I understand how frustrating it is to have your packages misdelivered. We would like to look into this for you right away. Please send us a DM with your order details so we can investigate this further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0197,PRIME_SUBSCRIPTION,"@AmazonHelp @AmazonHelp horrible PRIME experience, feeling cheated 2/2","I am very sorry to hear that your experience has been so frustrating; this is certainly not the level of service we aim to provide. To look into this further and assist you, please send us a DM with more details about the issue you are facing. ^AM",Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0196,RETURN_REFUND,"@115850 
Worst experience.Customer Care Team is helpless.I returned 2 orders.it was n’tcollected nor refund received",I am truly sorry to hear about the frustration you've experienced with your returns and the lack of updates. I would like to look into this for you immediately to see what is causing the delay. Please send us a DM with your order details so we can assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0056,RETURN_REFUND,"@AmazonHelp @115850 Had ordered this saree https://t.co/21cw5RuVR0
but got some cheap looking one. Need exchange https://t.co/JQ4grPjhHM",I am very sorry to hear that the saree you received did not match your expectations. We would like to look into this exchange request for you immediately. Please send us a DM with your order details so we can investigate this further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0141,GENERAL_COMPLAINT,@AmazonHelp I called the helpline 1800 3000 9009 it is not getting connected,I am very sorry to hear you are having trouble reaching our support team by phone. We would like to look into this for you right away. Please send us a DM with your account details so we can assist you further. ^AK,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0082,ACCOUNT_ACCESS,@AmazonHelp I can't sign in because my account has been locked... That's what I'm trying to solve,I am very sorry to hear that you are unable to access your account. I understand how frustrating this is. Please send us a DM so we can look into this further and assist you with the next steps to regain access. ^AN,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0165,DELIVERY_DAMAGE,"@115821 can’t believe you shipped Nest Cams in their original box, slapped on a sticker. The box is very damaged. Hope the cams aren’t. https://t.co/tQlkUUoxzj",I am very sorry to hear your Nest Cams arrived in a damaged box. I understand how frustrating it is to receive an item in that condition. Please send us a DM with your order details so we can look into this and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0119,PRIME_SUBSCRIPTION,I signed up for a free trial of Amazon prime and my bank account has been pure chaos ever since.,I am very sorry to hear about the frustration this charge has caused with your bank account. We would like to look into this for you right away. Please send us a DM so we can securely access your account details and investigate the status of your membership. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0146,DELIVERY_DAMAGE,@AmazonHelp that's real nice and all but my book is still damaged 🙃,I am very sorry to hear your book arrived damaged; that is certainly not the experience we want for you. Please send us a DM with your order details so we can look into this and assist you with a resolution right away. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0019,ORDER_STATUS,"@AmazonHelp I did contact, twice. Seems there's no one handling it responsibly. Today I got 2know I have wait 3-4days cuz of your error. I needed the product today, as per the original delivery schedule",I am very sorry for the frustration caused by this delay and the lack of clarity you've received so far. I understand how important it was to receive your order today. Please send us a DM with your order details so we can look into this for you immediately. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
GS_0113,ORDER_STATUS,Such a ridiculous service by #AmazonIndia.Rescheduled my delivery without informing me.Cancelling my order now.,I am very sorry to hear about the frustration caused by your delivery being rescheduled without notice. We want to look into this for you. Please send us a DM so we can review your order status and assist you further. ^AM,Thanks for reaching out — please send us a DM with your order number so we can look into this for you.
